"V0","clusters"
"NUI2810","T2"
"NUI2811","T2"
"NUI2812","T2"
"NUI2813","T1"
"NUI2814","T1"
"NUI2815","T3"
"NUI2816","T1"
"NUI2817","T3"
"NUI2818","T3"
"NUI2819","T1"
"NUI2820","T2"
"NUI2821","T2"
"NUI2823","T2"
"NUI2824","T1"
"NUI2826","T1"
"NUI2827","T3"
"NUI2828","T2"
"NUI2829","T1"
"NUI2830","T1"
"NUI2831","T4"
"NUI2832","T1"
"NUI2833","T3"
"NUI2834","T2"
"NUI2835","T2"
"NUI2836","T1"
"NUI2837","T4"
"NUI2838","T4"
"NUI2839","T4"
"NUI2840","T3"
"NUI2841","T3"
"NUI2842","T1"
"NUI2843","T1"
"NUI2844","T3"
"NUI2845","T1"
"NUI2846","T1"
"NUI2847","T1"
"NUI2848","T4"
"NUI2849","T1"
"NUI2850","T1"
"NUI2851","T4"
"NUI2852","T4"
"NUI2853","T1"
"NUI2854","T1"
"NUI2855","T1"
"NUI2856","T4"
"NUI2822","T3"
"NUI2825","T2"
"NUI2795","T2"
"NUI2857","T1"
"NUI2858","T1"
"NUI2859","T3"
"NUI2860","T4"
"NUI2861","T1"
"NUI2862","T4"
"NUI2863","T2"
"NUI2864","T4"
"NUI2865","T1"
"NUI3448","T1"
"NUI3447","T3"
"NUI3449","T1"
"NUI3451","T1"
"NUI3452","T1"
"NUI3454","T1"
"NUI3455","T3"
"NUI3456","T1"
"NUI3453","T1"
"NUI3450","T1"
"NUI3446","T1"
"NUI3457","T4"
"NUI3458","T1"
"NUI3459","T1"
"NUI3460","T3"
"NUI3461","T2"
"NUI3462","T1"
"NUI3463","T3"
"NUI3464","T3"
"NUI3465","T3"
"NUI3466","T2"
"NUI3467","T1"
"NUI3468","T1"
"NUI3469","T1"
"NUI3470","T1"
"NUI3471","T1"
"NUI3472","T1"
"NUI3473","T1"
"NUI3474","T1"
"NUI3475","T1"
"NUI3476","T1"
"NUI3477","T4"
"NUI3478","T3"
"NUI3479","T4"
"NUI3480","T1"
"NUI3481","T1"
"NUI3482","T2"
"NUI3483","T1"
"NUI3484","T1"
"NUI3485","T1"
"NUI3486","T2"
"NUI3487","T1"
"NUI3488","T1"
"NUI3489","T1"
"NUI3490","T1"
"NUI3491","T1"
"NUI3492","T3"
"NUI3493","T3"
"NUI3494","T1"
"NUI3495","T1"
"NUI3496","T2"
"NUI3497","T1"
"NUI3498","T1"
"NUI3499","T1"
"NUI3500","T1"
"NUI3501","T3"
"NUI3502","T3"
"NUI3503","T1"
"NUI3504","T1"
"NUI3505","T1"
"NUI3506","T1"
"NUI3507","T1"
"NUI3508","T3"
"NUI3509","T1"
"NUI3510","T3"
"NUI3511","T3"
"NUI3512","T1"
"NUI3513","T3"
"NUI3514","T1"
"NUI3515","T1"
"NUI3516","T1"
"NUI3517","T2"
"NUI3518","T1"
"NUI3521","T1"
"NUI3519","T1"
"NUI3520","T4"
"NUI3527","T4"
"NUI3522","T1"
"NUI3523","T1"
"NUI3524","T1"
"NUI3525","T4"
"NUI3526","T1"
"NUI3528","T1"
"NUI3529","T1"
"NUI3530","T1"
"NUI3531","T1"
"NUI3532","T1"
"NUI3533","T3"
"NUI3534","T4"
"NUI3535","T1"
"NUI3536","T1"
"NUI3537","T1"
"NUI3538","T1"
"NUI3539","T1"
"NUI3540","T1"
"NUI3541","T1"
"NUI3542","T1"
"NUI3543","T1"
"NUI3544","T4"
"NUI3545","T1"
"NUI3546","T4"
"NUI3547","T1"
"NUI3548","T2"
"NUI3549","T1"
"NUI3550","T1"
"NUI3551","T4"
"NUI3552","T2"
"NUI3553","T1"
"NUI3554","T1"
"NUI3555","T1"
"NUI3556","T2"
"NUI3557","T1"
"NUI3558","T2"
"NUI3559","T2"
"NUI3560","T2"
"NUI3561","T2"
"NUI3562","T1"
"NUI3563","T1"
"NUI3564","T1"
"NUI3565","T1"
"NUI3566","T4"
"NUI3567","T1"
"NUI3568","T4"
"NUI3569","T1"
"NUI3570","T2"
"NUI3571","T4"
"NUI3572","T4"
"NUI3573","T1"
"NUI3574","T4"
"NUI3575","T3"
"NUI3576","T3"
"NUI3577","T4"
"NUI3578","T4"
"NUI3579","T1"
"NUI3580","T1"
"NUI3581","T1"
"NUI3582","T4"
"NUI3583","T1"
"NUI3584","T1"
"NUI3585","T1"
"NUI3586","T1"
"NUI3587","T1"
"NUI3588","T1"
"NUI3589","T4"
"NUI3590","T4"
"NUI3591","T2"
"NUI3592","T1"
"NUI3593","T1"
"NUI3594","T1"
"NUI3595","T1"
"NUI3596","T3"
"NUI3597","T3"
"NUI3598","T1"
